trdar_nm,year,quarter,sum(is_risky),count(*),average(is_risky)
압구정로데오역(압구정로데오),2023,1,25,158,0.15822784810126583
압구정로데오역(압구정로데오),2023,2,14,54,0.25925925925925924
압구정역,2022,1,5,39,0.1282051282051282
압구정역,2022,2,7,38,0.18421052631578946
압구정역,2022,3,5,39,0.1282051282051282
압구정역,2022,4,12,39,0.3076923076923077
압구정역,2023,1,4,39,0.10256410256410256
압구정역,2023,2,1,13,0.07692307692307693
양재역,2022,1,6,58,0.10344827586206896
양재역,2022,2,13,60,0.21666666666666667
양재역,2022,3,18,61,0.29508196721311475
양재역,2022,4,14,59,0.23728813559322035
양재역,2023,1,11,51,0.21568627450980393
양재역,2023,2,5,15,0.3333333333333333
양천향교역 7번,2022,1,1,15,0.06666666666666667
양천향교역 7번,2022,2,2,5,0.4
양천향교역 7번,2022,3,5,16,0.3125
양천향교역 7번,2022,4,5,19,0.2631578947368421
양천향교역 7번,2023,1,3,18,0.16666666666666666
양천향교역 7번,2023,2,1,6,0.16666666666666666
어린이대공원역,2022,1,4,11,0.36363636363636365
어린이대공원역,2022,2,3,20,0.15
어린이대공원역,2022,3,5,21,0.23809523809523808
어린이대공원역,2022,4,1,17,0.058823529411764705
어린이대공원역,2023,1,1,15,0.06666666666666667
어린이대공원역,2023,2,1,5,0.2
언주역(차병원),2022,1,3,18,0.16666666666666666
언주역(차병원),2022,2,5,18,0.2777777777777778
언주역(차병원),2022,3,3,18,0.16666666666666666
언주역(차병원),2022,4,5,18,0.2777777777777778
언주역(차병원),2023,1,4,18,0.2222222222222222
언주역(차병원),2023,2,1,6,0.16666666666666666
여의도역(여의도),2022,1,18,148,0.12162162162162163
여의도역(여의도),2022,2,21,159,0.1320754716981132
여의도역(여의도),2022,3,28,178,0.15730337078651685
여의도역(여의도),2022,4,22,187,0.11764705882352941
여의도역(여의도),2023,1,25,182,0.13736263736263737
여의도역(여의도),2023,2,10,63,0.15873015873015872
역삼역,2022,1,17,156,0.10897435897435898
역삼역,2022,2,14,155,0.09032258064516129
역삼역,2022,3,24,152,0.15789473684210525
역삼역,2022,4,25,157,0.1592356687898089
역삼역,2023,1,28,156,0.1794871794871795
역삼역,2023,2,8,52,0.15384615384615385
연남동(홍대),2022,1,54,349,0.15472779369627507
연남동(홍대),2022,2,80,354,0.22598870056497175
연남동(홍대),2022,3,80,387,0.20671834625322996
연남동(홍대),2022,4,78,404,0.19306930693069307
연남동(홍대),2023,1,86,393,0.21882951653944022
연남동(홍대),2023,2,34,129,0.26356589147286824
연신내상점가(연빛거리),2022,1,12,86,0.13953488372093023
연신내상점가(연빛거리),2022,2,8,85,0.09411764705882353
연신내상점가(연빛거리),2022,3,6,86,0.06976744186046512
연신내상점가(연빛거리),2022,4,7,84,0.08333333333333333
연신내상점가(연빛거리),2023,1,10,81,0.12345679012345678
연신내상점가(연빛거리),2023,2,4,27,0.14814814814814814
연신내역,2022,1,4,21,0.19047619047619047
연신내역,2022,2,2,20,0.1
연신내역,2022,3,6,21,0.2857142857142857
연신내역,2022,4,5,18,0.2777777777777778
연신내역,2023,1,4,21,0.19047619047619047
연신내역,2023,2,2,7,0.2857142857142857
연트럴파크(연남동주민센터),2022,1,3,24,0.125
연트럴파크(연남동주민센터),2022,2,6,24,0.25
연트럴파크(연남동주민센터),2022,3,4,24,0.16666666666666666
연트럴파크(연남동주민센터),2022,4,8,27,0.2962962962962963
연트럴파크(연남동주민센터),2023,1,6,24,0.25
연트럴파크(연남동주민센터),2023,2,3,9,0.3333333333333333
연희동,2022,1,2,16,0.125
연희동,2022,2,4,18,0.2222222222222222
연희동,2022,3,4,21,0.19047619047619047
연희동,2022,4,5,21,0.23809523809523808
연희동,2023,1,3,21,0.14285714285714285
연희동,2023,2,1,7,0.14285714285714285
영등포구청역,2022,1,0,18,0.0
영등포구청역,2022,2,5,19,0.2631578947368421
영등포구청역,2022,3,5,21,0.23809523809523808
영등포구청역,2022,4,3,21,0.14285714285714285
영등포구청역,2023,1,2,18,0.1111111111111111
영등포구청역,2023,2,1,6,0.16666666666666666
영등포역(영등포),2022,1,5,66,0.07575757575757576
영등포역(영등포),2022,2,2,67,0.029850746268656716
영등포역(영등포),2022,3,7,71,0.09859154929577464
영등포역(영등포),2022,4,10,78,0.1282051282051282
영등포역(영등포),2023,1,11,75,0.14666666666666667
영등포역(영등포),2023,2,1,24,0.041666666666666664
왕십리역(왕십리),2022,1,4,39,0.10256410256410256
왕십리역(왕십리),2022,2,5,41,0.12195121951219512
왕십리역(왕십리),2022,3,6,43,0.13953488372093023
왕십리역(왕십리),2022,4,6,47,0.1276595744680851
왕십리역(왕십리),2023,1,5,45,0.1111111111111111
왕십리역(왕십리),2023,2,4,15,0.26666666666666666
용산전자상가(용산역),2022,1,7,31,0.22580645161290322
용산전자상가(용산역),2022,2,12,30,0.4
용산전자상가(용산역),2022,3,8,35,0.22857142857142856
용산전자상가(용산역),2022,4,12,33,0.36363636363636365
용산전자상가(용산역),2023,1,13,33,0.3939393939393939
용산전자상가(용산역),2023,2,3,11,0.2727272727272727
은행사거리,2022,1,4,27,0.14814814814814814
은행사거리,2022,2,4,27,0.14814814814814814
은행사거리,2022,3,3,27,0.1111111111111111
은행사거리,2022,4,7,27,0.25925925925925924
은행사거리,2023,1,5,26,0.19230769230769232
은행사거리,2023,2,0,8,0.0
을지로3가역,2022,1,8,69,0.11594202898550725
을지로3가역,2022,2,10,64,0.15625
을지로3가역,2022,3,6,76,0.07894736842105263
을지로3가역,2022,4,5,90,0.05555555555555555
을지로3가역,2023,1,6,85,0.07058823529411765
을지로3가역,2023,2,3,28,0.10714285714285714
인사동,2022,1,4,16,0.25
